Wii Sports,Wii,2006.0,Sports,Nintendo,Nintendo,E
Mario Kart Wii,Wii,2008.0,Racing,Nintendo,Nintendo,E
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,Nintendo,E
New Super Mario Bros.,DS,2006.0,Platform,Nintendo,Nintendo,E
Wii Play,Wii,2006.0,Misc,Nintendo,Nintendo,E
New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,Nintendo,E
Mario Kart DS,DS,2005.0,Racing,Nintendo,Nintendo,E
Wii Fit,Wii,2007.0,Sports,Nintendo,Nintendo,E
Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,Good Science Studio,E
Wii Fit Plus,Wii,2009.0,Sports,Nintendo,Nintendo,E
Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,Rockstar North,M
Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,Rockstar North,M
Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,Nintendo,E
Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,Rockstar North,M
Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,Rockstar North,M
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,Nintendo,E
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,Polyphony Digital,E
Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,Treyarch,M
Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,Treyarch,M
Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,Treyarch,M
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,Infinity Ward,M
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,DMA Design,M
Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,Game Arts,T
Mario Kart 7,3DS,2011.0,Racing,Nintendo,"Retro Studios, Entertainment Analysis & Development Division",E
Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,Treyarch,M
Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,Rockstar North,M
Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,Nintendo,E
Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,"Bungie Software, Bungie",M
Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,Polyphony Digital,E
Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,Nintendo,E
Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,Rockstar North,M
Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,Polyphony Digital,E
Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,Nintendo,E
Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,Polyphony Digital,E
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,Infinity Ward,M
Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,Rockstar North,M
Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,Infinity Ward,M
Just Dance 3,Wii,2011.0,Misc,Ubisoft,Ubisoft,E10+
New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,Nintendo,E
Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,Bungie,M
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,SquareSoft,T
Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,343 Industries,M
Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,Polyphony Digital,T
Just Dance 2,Wii,2010.0,Misc,Ubisoft,Ubisoft,E10+
Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,Infinity Ward,M
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,Infinity Ward,M
Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,Nintendo,E
Mario Party DS,DS,2007.0,Misc,Nintendo,Hudson Soft,E
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
FIFA 16,PS4,2015.0,Sports,Electronic Arts,EA Sports,E
Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,Bungie Software,M
Wii Party,Wii,2010.0,Misc,Nintendo,Nd Cube,E
Mario Party 8,Wii,2007.0,Misc,Nintendo,Hudson,E
FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,Electronic Arts,E
Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,SquareSoft,T
The Sims 3,PC,2009.0,Simulation,Electronic Arts,The Sims Studio,T
Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,SquareSoft,T
Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,Game Freak,E
