tahun,bulan,kota_administrasi,kecamatan,penderita_dbd,meninggal
2020,01,Jakarta Pusat,Cempaka Putih,1,0
2020,02,Jakarta Pusat,Cempaka Putih,4,0
2020,03,Jakarta Pusat,Cempaka Putih,15,0
2020,04,Jakarta Pusat,Cempaka Putih,18,0
2020,05,Jakarta Pusat,Cempaka Putih,8,0
2020,06,Jakarta Pusat,Cempaka Putih,3,0
2020,07,Jakarta Pusat,Cempaka Putih,0,0
2020,08,Jakarta Pusat,Cempaka Putih,0,0
2020,09,Jakarta Pusat,Cempaka Putih,0,0
2020,10,Jakarta Pusat,Cempaka Putih,0,0
2020,11,Jakarta Pusat,Cempaka Putih,2,0
2020,12,Jakarta Pusat,Cempaka Putih,0,0
2020,01,Jakarta Pusat,Gambir,0,0
2020,02,Jakarta Pusat,Gambir,7,0
2020,03,Jakarta Pusat,Gambir,4,0
2020,04,Jakarta Pusat,Gambir,5,0
2020,05,Jakarta Pusat,Gambir,3,0
2020,06,Jakarta Pusat,Gambir,0,0
2020,07,Jakarta Pusat,Gambir,0,0
2020,08,Jakarta Pusat,Gambir,0,0
2020,09,Jakarta Pusat,Gambir,0,0
2020,10,Jakarta Pusat,Gambir,0,0
2020,11,Jakarta Pusat,Gambir,0,0
2020,12,Jakarta Pusat,Gambir,0,0
2020,01,Jakarta Pusat,Johar Baru,2,0
2020,02,Jakarta Pusat,Johar Baru,4,0
2020,03,Jakarta Pusat,Johar Baru,13,0
2020,04,Jakarta Pusat,Johar Baru,11,0
2020,05,Jakarta Pusat,Johar Baru,5,0
2020,06,Jakarta Pusat,Johar Baru,2,0
2020,07,Jakarta Pusat,Johar Baru,2,0
2020,08,Jakarta Pusat,Johar Baru,0,0
2020,09,Jakarta Pusat,Johar Baru,0,0
2020,10,Jakarta Pusat,Johar Baru,0,0
2020,11,Jakarta Pusat,Johar Baru,0,0
2020,12,Jakarta Pusat,Johar Baru,0,0
2020,01,Jakarta Pusat,Kemayoran,8,0
2020,02,Jakarta Pusat,Kemayoran,5,0
2020,03,Jakarta Pusat,Kemayoran,16,0
2020,04,Jakarta Pusat,Kemayoran,29,0
2020,05,Jakarta Pusat,Kemayoran,27,0
2020,06,Jakarta Pusat,Kemayoran,5,0
2020,07,Jakarta Pusat,Kemayoran,1,0
2020,08,Jakarta Pusat,Kemayoran,0,0
2020,09,Jakarta Pusat,Kemayoran,0,0
2020,10,Jakarta Pusat,Kemayoran,0,0
2020,11,Jakarta Pusat,Kemayoran,1,0
2020,12,Jakarta Pusat,Kemayoran,0,0
2020,01,Jakarta Pusat,Menteng,2,0
2020,02,Jakarta Pusat,Menteng,6,0
2020,03,Jakarta Pusat,Menteng,19,0
2020,04,Jakarta Pusat,Menteng,7,0
2020,05,Jakarta Pusat,Menteng,3,0
2020,06,Jakarta Pusat,Menteng,0,0
2020,07,Jakarta Pusat,Menteng,0,0
2020,08,Jakarta Pusat,Menteng,0,0
2020,09,Jakarta Pusat,Menteng,0,0
2020,10,Jakarta Pusat,Menteng,0,0
2020,11,Jakarta Pusat,Menteng,1,0
2020,12,Jakarta Pusat,Menteng,0,0
2020,01,Jakarta Pusat,Sawah Besar,3,0
2020,02,Jakarta Pusat,Sawah Besar,5,0
2020,03,Jakarta Pusat,Sawah Besar,17,0
2020,04,Jakarta Pusat,Sawah Besar,10,0
2020,05,Jakarta Pusat,Sawah Besar,6,0
2020,06,Jakarta Pusat,Sawah Besar,1,0
2020,07,Jakarta Pusat,Sawah Besar,0,0
2020,08,Jakarta Pusat,Sawah Besar,1,0
2020,09,Jakarta Pusat,Sawah Besar,0,0
2020,10,Jakarta Pusat,Sawah Besar,0,0
2020,11,Jakarta Pusat,Sawah Besar,0,0
2020,12,Jakarta Pusat,Sawah Besar,0,0
2020,01,Jakarta Pusat,Senen,1,0
2020,02,Jakarta Pusat,Senen,3,0
2020,03,Jakarta Pusat,Senen,17,0
2020,04,Jakarta Pusat,Senen,11,0
2020,05,Jakarta Pusat,Senen,5,0
2020,06,Jakarta Pusat,Senen,1,0
2020,07,Jakarta Pusat,Senen,1,0
2020,08,Jakarta Pusat,Senen,0,0
2020,09,Jakarta Pusat,Senen,0,0
2020,10,Jakarta Pusat,Senen,0,0
2020,11,Jakarta Pusat,Senen,0,0
2020,12,Jakarta Pusat,Senen,1,0
2020,01,Jakarta Pusat,Tanah Abang,1,0
2020,02,Jakarta Pusat,Tanah Abang,7,0
2020,03,Jakarta Pusat,Tanah Abang,21,0
2020,04,Jakarta Pusat,Tanah Abang,9,0
2020,05,Jakarta Pusat,Tanah Abang,5,0
2020,06,Jakarta Pusat,Tanah Abang,0,0
2020,07,Jakarta Pusat,Tanah Abang,1,0
2020,08,Jakarta Pusat,Tanah Abang,1,0
2020,09,Jakarta Pusat,Tanah Abang,0,0
2020,10,Jakarta Pusat,Tanah Abang,0,0
2020,11,Jakarta Pusat,Tanah Abang,0,0
2020,12,Jakarta Pusat,Tanah Abang,0,0
2020,01,Jakarta Utara,Cilincing,4,0
2020,02,Jakarta Utara,Cilincing,0,0
2020,03,Jakarta Utara,Cilincing,12,0
2020,04,Jakarta Utara,Cilincing,16,0
2020,05,Jakarta Utara,Cilincing,13,0
2020,06,Jakarta Utara,Cilincing,5,0
2020,07,Jakarta Utara,Cilincing,7,0
2020,08,Jakarta Utara,Cilincing,1,0
2020,09,Jakarta Utara,Cilincing,1,0
2020,10,Jakarta Utara,Cilincing,1,0
2020,11,Jakarta Utara,Cilincing,1,0
2020,12,Jakarta Utara,Cilincing,0,0
2020,01,Jakarta Utara,Kelapa Gading,9,0
2020,02,Jakarta Utara,Kelapa Gading,21,0
2020,03,Jakarta Utara,Kelapa Gading,28,0
2020,04,Jakarta Utara,Kelapa Gading,24,0
2020,05,Jakarta Utara,Kelapa Gading,22,0
2020,06,Jakarta Utara,Kelapa Gading,12,0
2020,07,Jakarta Utara,Kelapa Gading,2,0
2020,08,Jakarta Utara,Kelapa Gading,0,0
2020,09,Jakarta Utara,Kelapa Gading,0,0
2020,10,Jakarta Utara,Kelapa Gading,0,0
2020,11,Jakarta Utara,Kelapa Gading,0,0
2020,12,Jakarta Utara,Kelapa Gading,0,0
2020,01,Jakarta Utara,Koja,15,0
2020,02,Jakarta Utara,Koja,12,0
2020,03,Jakarta Utara,Koja,19,0
2020,04,Jakarta Utara,Koja,26,0
2020,05,Jakarta Utara,Koja,21,0
2020,06,Jakarta Utara,Koja,10,0
2020,07,Jakarta Utara,Koja,5,0
2020,08,Jakarta Utara,Koja,4,0
2020,09,Jakarta Utara,Koja,1,0
2020,10,Jakarta Utara,Koja,0,0
2020,11,Jakarta Utara,Koja,1,0
2020,12,Jakarta Utara,Koja,0,0
2020,01,Jakarta Utara,Pademangan,5,0
2020,02,Jakarta Utara,Pademangan,3,0
2020,03,Jakarta Utara,Pademangan,15,0
2020,04,Jakarta Utara,Pademangan,14,0
2020,05,Jakarta Utara,Pademangan,2,0
2020,06,Jakarta Utara,Pademangan,2,0
2020,07,Jakarta Utara,Pademangan,1,0
2020,08,Jakarta Utara,Pademangan,2,0
2020,09,Jakarta Utara,Pademangan,1,0
2020,10,Jakarta Utara,Pademangan,0,0
2020,11,Jakarta Utara,Pademangan,0,0
2020,12,Jakarta Utara,Pademangan,0,0
2020,01,Jakarta Utara,Penjaringan,1,0
2020,02,Jakarta Utara,Penjaringan,8,0
2020,03,Jakarta Utara,Penjaringan,24,0
2020,04,Jakarta Utara,Penjaringan,9,0
2020,05,Jakarta Utara,Penjaringan,4,0
2020,06,Jakarta Utara,Penjaringan,1,0
2020,07,Jakarta Utara,Penjaringan,3,0
2020,08,Jakarta Utara,Penjaringan,0,0
2020,09,Jakarta Utara,Penjaringan,0,0
2020,10,Jakarta Utara,Penjaringan,0,0
2020,11,Jakarta Utara,Penjaringan,0,0
2020,12,Jakarta Utara,Penjaringan,2,0
2020,01,Jakarta Utara,Tanjung Priok,9,0
2020,02,Jakarta Utara,Tanjung Priok,18,0
2020,03,Jakarta Utara,Tanjung Priok,32,0
2020,04,Jakarta Utara,Tanjung Priok,53,0
2020,05,Jakarta Utara,Tanjung Priok,18,0
2020,06,Jakarta Utara,Tanjung Priok,8,0
2020,07,Jakarta Utara,Tanjung Priok,5,0
2020,08,Jakarta Utara,Tanjung Priok,2,0
2020,09,Jakarta Utara,Tanjung Priok,1,0
2020,10,Jakarta Utara,Tanjung Priok,2,0
2020,11,Jakarta Utara,Tanjung Priok,2,0
2020,12,Jakarta Utara,Tanjung Priok,2,0
2020,01,Jakarta Barat,Cengkareng,15,0
2020,02,Jakarta Barat,Cengkareng,28,0
2020,03,Jakarta Barat,Cengkareng,59,0
2020,04,Jakarta Barat,Cengkareng,48,0
2020,05,Jakarta Barat,Cengkareng,48,0
2020,06,Jakarta Barat,Cengkareng,23,0
2020,07,Jakarta Barat,Cengkareng,6,0
2020,08,Jakarta Barat,Cengkareng,6,0
2020,09,Jakarta Barat,Cengkareng,10,0
2020,10,Jakarta Barat,Cengkareng,4,0
2020,11,Jakarta Barat,Cengkareng,2,0
2020,12,Jakarta Barat,Cengkareng,2,0
2020,01,Jakarta Barat,Grogol Petamburan,8,0
2020,02,Jakarta Barat,Grogol Petamburan,17,0
2020,03,Jakarta Barat,Grogol Petamburan,36,0
2020,04,Jakarta Barat,Grogol Petamburan,27,0
2020,05,Jakarta Barat,Grogol Petamburan,10,0
2020,06,Jakarta Barat,Grogol Petamburan,6,0
2020,07,Jakarta Barat,Grogol Petamburan,0,0
2020,08,Jakarta Barat,Grogol Petamburan,0,0
2020,09,Jakarta Barat,Grogol Petamburan,0,0
2020,10,Jakarta Barat,Grogol Petamburan,0,0
2020,11,Jakarta Barat,Grogol Petamburan,4,0
2020,12,Jakarta Barat,Grogol Petamburan,0,0
2020,01,Jakarta Barat,Kalideres,22,0
2020,02,Jakarta Barat,Kalideres,38,0
2020,03,Jakarta Barat,Kalideres,105,0
2020,04,Jakarta Barat,Kalideres,79,0
2020,05,Jakarta Barat,Kalideres,63,0
2020,06,Jakarta Barat,Kalideres,22,0
2020,07,Jakarta Barat,Kalideres,10,0
2020,08,Jakarta Barat,Kalideres,15,0
2020,09,Jakarta Barat,Kalideres,8,0
2020,10,Jakarta Barat,Kalideres,6,0
2020,11,Jakarta Barat,Kalideres,11,0
2020,12,Jakarta Barat,Kalideres,5,0
